company_name,company_description,relationship_to_bond,sector,industry,ISIN,bond_destination,coupon_rate,total_bond_amount,nominal_amount,quarter_created,year_created,maturity_date,bond_currency,country,status,stocks_info,bond_types,Floating rate,Foreign bonds,Green bonds,Securitization,Senior Secured,Senior Unsecured,Zero-coupon bonds
2i rete gas,2i rete gas,Borrower,corporate,Public utilities,XS1088274169,International bonds,1.75%,"362,793,000 EUR","1,000 EUR",Q2,2017,7/16/2019, EUR,Italy,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
2i rete gas,2i rete gas,Borrower,corporate,Public utilities,XS1088274672,International bonds,3%,"600,000,000 EUR","1,000 EUR",Q2,2017,7/16/2024, EUR,Italy,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
2i rete gas,2i rete gas,Borrower,corporate,Public utilities,XS1144492532,International bonds,1.13%,"267,100,000 EUR","1,000 EUR",Q2,2017,1/2/2020, EUR,Italy,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
2i rete gas,2i rete gas,Borrower,corporate,Public utilities,XS1571982468,International bonds,1.75%,"435,000,000 EUR","1,000 EUR",Q2,2017,8/28/2026, EUR,Italy,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
A2A,"A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...",Profile,corporate,Power,XS0859920406,International bonds,4.50%,"510,703,000 EUR","1,000 EUR",Q2,2017,11/28/2019, EUR,Italy,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
A2A,"A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...",Profile,corporate,Power,XS0951567030,International bonds,4.38%,"351,457,000 EUR","1,000 EUR",Q2,2017,1/10/2021, EUR,Italy,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
A2A,"A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...",Profile,corporate,Power,XS1004874621,International bonds,3.63%,"500,000,000 EUR","1,000 EUR",Q2,2017,1/13/2022, EUR,Italy,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
A2A,"A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...",Profile,corporate,Power,XS1195347478,International bonds,1.75%,"300,000,000 EUR","1,000 EUR",Q2,2017,2/25/2025, EUR,Italy,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
A2A,"A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...",Profile,corporate,Power,XS1581375182,International bonds,1.25%,"300,000,000 EUR","1,000 EUR",Q2,2017,3/16/2024, EUR,Italy,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
ABB,"ABB Ltd (ABB) is engaged in power and automation technologies. The Company provides a range of products, systems, solutions and services. Its power businesses focus on power transmission, distribution and power-plant automation and serve electric, gas ...",Profile,corporate,Engineering industry,XS0763122578,International bonds,2.63%,"1,250,000,000 EUR","1,000 EUR",Q2,2017,3/26/2019, EUR,Switzerland,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
